year,monocultural,mono-cultural,mono_cultural,monoculturals,mono-culturals,mono_culturals,monoracial,mono-racial,mono_racial,monoracials,mono-racials,mono_racials,monoethnic,mono-ethnic,mono_ethnic,monoethnics,mono-ethnics,mono_ethnics,bicultural,bi-cultural,bi_cultural,biculturals,bi-culturals,bi_culturals,biracial,bi-racial,bi_racial,biracials,bi-racials,bi_racials,biethnic,bi-ethnic,bi_ethnic,biethnics,bi-ethnics,bi_ethnics,interracial,inter-racial,inter_racial,interracials,inter-racials,inter_racials,multiracial,multi-racial,multi_racial,multiracials,multi-racials,multi_racials,multiethnic,multi-ethnic,multi_ethnic,multiethnics,multi-ethnics,multi_ethnics,multicultural,multi-cultural,multi_cultural,multiculturals,multi-culturals,multi_culturals,culturalpluralism,cultural-pluralism,cultural_pluralism,culturalpluralisms,cultural-pluralisms,cultural_pluralisms,polyculturalism,poly-culturalism,poly_culturalism,polyculturalisms,poly-culturalisms,poly_culturalisms,multiculturalism,multi-culturalism,multi_culturalism,multiculturalisms,multi-culturalisms,multi_culturalisms,mixedrace,mixed-race,mixed_race,mixedraces,mixed-races,mixed_races,mixedethnicity,mixed-ethnicity,mixed_ethnicity,mixedethnicities,mixed-ethnicities,mixed_ethnicities,otherrace,other-race,other_race,otherraces,other-races,other_races,otherethnicity,other-ethnicity,other_ethnicity,otherethnicities,other-ethnicities,other_ethnicities
1851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021992522542335605,0.00021992522542335605,0.0,0.0017594018033868484,0.0017594018033868484,0.0,0.0,0.0,0.0,0.0,0.0
1852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.356186395286556e-05,5.356186395286556e-05,0.0,5.356186395286556e-05,5.356186395286556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.356186395286556e-05,5.356186395286556e-05,0.0,0.0002678093197643278,0.0002678093197643278,0.0,0.0,0.0,0.0,0.0,0.0
1853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.445432318292954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013336296954878863,0.00013336296954878863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013336296954878863,0.00013336296954878863,0.0,0.00031118026228050676,0.00031118026228050676,0.0,0.0,0.0,0.0,0.0,0.0
1854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.901960784313725e-05,4.901960784313725e-05,0.0,9.80392156862745e-05,9.80392156862745e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014705882352941175,0.00014705882352941175,0.0,0.0004901960784313725,0.0004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0
1855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001636125654450262,0.0001636125654450262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002181500872600349,0.0002181500872600349,0.0,0.0,0.0,0.0,0.0,0.0
1856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011012003083360864,0.00011012003083360864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002753000770840216,0.0002753000770840216,0.0,5.506001541680432e-05,5.506001541680432e-05,0.0,0.0,0.0,0.0,0.0,0.0
1857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011008366358432408,0.00011008366358432408,0.0,0.00016512549537648613,0.00016512549537648613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.504183179216204e-05,5.504183179216204e-05,0.0,0.00016512549537648613,0.00016512549537648613,0.0,0.0,0.0,0.0,0.0,0.0
1858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011502185415228893,0.00011502185415228893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011502185415228893,0.00011502185415228893,0.0,0.0003450655624568668,0.0003450655624568668,0.0,0.0,0.0,0.0,0.0,0.0
1859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.851661527920521e-05,6.851661527920521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020554984583761563,0.00020554984583761563,0.0,0.00027406646111682084,0.00027406646111682084,0.0,0.0,0.0,0.0,0.0,0.0
1860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020738282870178348,0.00020738282870178348,0.0,0.00015553712152633763,0.00015553712152633763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005184570717544588,0.0005184570717544588,0.0,0.00031107424305267526,0.00031107424305267526,0.0,0.0,0.0,0.0,0.0,0.0
