Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
CULTURAL CHANGE IN CHILDREARING BELIEFS AND PRACTICES,NICHD,6521173,5R01HD037515-03,5,R01,HD,37515,3,,,1896188,"ALTMAN, JACKI ",Not Applicable,UNIVERSITY OF CONNECTICUT STORRS, ,2002,335137,
CULTURAL CHANGE IN CHILDREARING BELIEFS AND PRACTICES,NICHD,6388079,5R01HD037515-02,5,R01,HD,37515,2,,,1896188,"ALTMAN, JACKI ",Not Applicable,UNIVERSITY OF CONNECTICUT STORRS, ,2001,355033,
CULTURAL CHANGE IN CHILDREARING BELIEFS AND PRACTICES,NICHD,6138870,1R01HD037515-01A1,1,R01,HD,37515,1,A1,,1896188,"ALTMAN, JACKI ",Not Applicable,UNIVERSITY OF CONNECTICUT STORRS, ,2000,415255,
COMMUNICATION OF EMOTION: BEHAVIORAL AND NEURAL CORRELATES,NIMH,7664631,5R01MH070833-05,5,R01,MH,70833,5,,,1861565,"AMBADY, NALINI ",Not Applicable,TUFTS UNIVERSITY MEDFORD, ,2009,207082,
COMMUNICATION OF EMOTION: BEHAVIORAL AND NEURAL CORRELATES,NIMH,7488888,5R01MH070833-04,5,R01,MH,70833,4,,,1861565,"AMBADY, NALINI ",Not Applicable,TUFTS UNIVERSITY MEDFORD, ,2008,207082,
COMMUNICATION OF EMOTION: BEHAVIORAL AND NEURAL CORRELATES,NIMH,7284262,5R01MH070833-03,5,R01,MH,70833,3,,,1861565,"AMBADY, NALINI ",Not Applicable,TUFTS UNIVERSITY MEDFORD, ,2007,207082,
COMMUNICATION OF EMOTION: BEHAVIORAL AND NEURAL CORRELATES,NIMH,7124217,5R01MH070833-02,5,R01,MH,70833,2,,,1861565,"AMBADY, NALINI ",Not Applicable,TUFTS UNIVERSITY MEDFORD, ,2006,213268,
NONLINGUISTIC DIALECTS: BEHAVIORAL AND NEURAL CORRELATES,NIMH,6925838,1R01MH070833-01A1,1,R01,MH,70833,1,A1,,1861565,"AMBADY, NALINI ",Not Applicable,TUFTS UNIVERSITY MEDFORD, ,2005,218400,
BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,NIMHD,8254326,5R24MD001644-08,5,R24,MD,1644,8,,,1875070,"CALMAN, NEIL S",Not Applicable,INSTITUTE FOR FAMILY HEALTH, ,2012,583862,
BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,NIMHD,8039244,5R24MD001644-07,5,R24,MD,1644,7,,,1875070,"CALMAN, NEIL S",Not Applicable,INSTITUTE FOR FAMILY HEALTH, ,2011,624348,
BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,NCMHD,7806443,5R24MD001644-06,5,R24,MD,1644,6,,,1875070,"CALMAN, NEIL S",Not Applicable,INSTITUTE FOR FAMILY HEALTH, ,2010,625127,
BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,NCMHD,7633421,5R24MD001644-05,5,R24,MD,1644,5,,,1875070,"CALMAN, NEIL S",Not Applicable,INSTITUTE FOR FAMILY HEALTH, ,2009,624928,
BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,NCMHD,7682637,3R24MD001644-04S1,3,R24,MD,1644,4,S1,,1875070,"CALMAN, NEIL S",Not Applicable,INSTITUTE FOR FAMILY HEALTH, ,2008,199260,
BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,NCMHD,7492525,2R24MD001644-04,2,R24,MD,1644,4,,,1875070,"CALMAN, NEIL S",Not Applicable,INSTITUTE FOR FAMILY HEALTH, ,2008,520061,
HEALTH BEHAVIORS OF MULTI-ETHNIC HISPANIC ELDERLY,NIA,6098553,3P20AG012042-03S1,3,P20,AG,12042,3,S1,4,6139985,"CALVES, NOEL ",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO, ,1996,,
HEALTH BEHAVIORS OF MULTI-ETHNIC HISPANIC ELDERLY,NIA,3746372,5P20AG012042-02,5,P20,AG,12042,2,,4,3364175,"CALVES, NOEL ",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO, ,1994,
VALIDATING UNBIASED ONCOLOGY QUALITY OF LIFE ASSESSMENT,NCI,2102433,5R01CA061679-02,5,R01,CA,61679,2,,,1865141,"CELLA, DAVID ",Not Applicable,RUSH UNIVERSITY MEDICAL CENTER, ,1994,321855
VALIDATING UNBIASED ONCOLOGY QUALITY OF LIFE ASSESSMENT,NCI,3204982,1R01CA061679-01,1,R01,CA,61679,1,,,1865141,"CELLA, DAVID ",Not Applicable,RUSH UNIVERSITY MEDICAL CENTER, ,1993,316410
FEASIBLE DELIVERY OF CBT FOR RURAL LATINO YOUTH WITH ANXIETY,NIMH,8270522,5R34MH090149-03,5,R34,MH,90149,3,,,7943755,"CHAVIRA, DENISE A",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO, ,2012,217961
FEASIBLE DELIVERY OF CBT FOR RURAL LATINO YOUTH WITH ANXIETY,NIMH,8074063,5R34MH090149-02,5,R34,MH,90149,2,,,7943755,"CHAVIRA, DENISE A",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO, ,2011,217961
FEASIBLE DELIVERY OF CBT FOR RURAL LATINO YOUTH WITH ANXIETY,NIMH,7873715,1R34MH090149-01,1,R34,MH,90149,1,,,7943755,"CHAVIRA, DENISE A",Not Applicable,UNIVERSITY OF CALIFORNIA SAN DIEGO, ,2010,220163
IMPACT OF INTERPRETERS ON CANCER CARE ACCESS & DELIVERY FOR THAI & VIETNAMESE PTS,NCI,7227356,3U01CA114640-02S4,3,U01,CA,114640,2,S4,,1884703,"CHEN, MOON SHAO-CHUANG",Not Applicable,UNIVERSITY OF CALIFORNIA DAVIS, ,2006,72277
LATINO & CHINESE FAMILIES IN PEDIATRIC PALLIATIVE CARE,NINR,6916241,5R01NR007879-04,5,R01,NR,7879,4,,,1906989,"DAVIES, ELIZABETH M",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO, ,2005,272484
LATINO & CHINESE FAMILIES IN PEDIATRIC PALLIATIVE CARE,NINR,6755049,5R01NR007879-03,5,R01,NR,7879,3,,,1906989,"DAVIES, ELIZABETH M",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO, ,2004,362800
LATINO & CHINESE FAMILIES IN PEDIATRIC PALLIATIVE CARE,NINR,6661338,5R01NR007879-02,5,R01,NR,7879,2,,,1906989,"DAVIES, ELIZABETH M",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO, ,2003,357743
LATINO & CHINESE FAMILIES IN PEDIATRIC PALLIATIVE CARE,NINR,6545079,1R01NR007879-01A1,1,R01,NR,7879,1,A1,,1906989,"DAVIES, ELIZABETH M",Not Applicable,UNIVERSITY OF CALIFORNIA SAN FRANCISCO, ,2002,304975
MEDICATION ADHERENCE IN LATINOS,NIMH,6683207,5K23MH001912-05,5,K23,MH,1912,5,,,6097516,"DIAZ, ESPERANZA ",Not Applicable,YALE UNIVERSITY, ,2004,160784
MEDICATION ADHERENCE IN LATINOS,NIMH,6625381,5K23MH001912-04,5,K23,MH,1912,4,,,6097516,"DIAZ, ESPERANZA ",Not Applicable,YALE UNIVERSITY, ,2003,157869
MEDICATION ADHERENCE IN LATINOS,NIMH,6477035,5K23MH001912-03,5,K23,MH,1912,3,,,6097516,"DIAZ, ESPERANZA ",Not Applicable,YALE UNIVERSITY, ,2002,156265
MEDICATION ADHERENCE IN LATINOS,NIMH,6330231,5K23MH001912-02,5,K23,MH,1912,2,,,6097516,"DIAZ, ESPERANZA ",Not Applicable,YALE UNIVERSITY, ,2001,153640
MEDICATION ADHERENCE IN LATINOS,NIMH,6032199,1K23MH001912-01,1,K23,MH,1912,1,,,6097516,"DIAZ, ESPERANZA ",Not Applicable,YALE UNIVERSITY, ,2000,150758
