Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
CARDIAC CHANNEL MUTATIONS IN SIDS,NICHD,8871441,5R01HD042569-12,5,R01,HD,42569,12,,,6809838,"ACKERMAN, MICHAEL JOHN",Not Applicable,MAYO CLINIC ROCHESTER, ,2015,528263,
CARDIAC CHANNEL MUTATIONS IN SIDS,NICHD,8710292,5R01HD042569-11,5,R01,HD,42569,11,,,6809838,"ACKERMAN, MICHAEL JOHN",Not Applicable,MAYO CLINIC ROCHESTER, ,2014,526637,
CARDIAC CHANNEL MUTATIONS IN SIDS,NICHD,8576888,2R01HD042569-10A1,2,R01,HD,42569,10,A1,,6809838,"ACKERMAN, MICHAEL JOHN",Not Applicable,MAYO CLINIC ROCHESTER, ,2013,541808,
INTENSIVE CASE MANAGEMENT FOR CHRONIC PUBLIC INEBRIATES,NIAAA,2044856,5U01AA008798-03,5,U01,AA,8798,3,,,1873646,"COX, GARY B.",Not Applicable,UNIVERSITY OF WASHINGTON, ,1992,984074,
SOCIAL FACTORS AND HIV RISK,NIDA,2118898,5R01DA006723-03,5,R01,DA,6723,3,,,1888398,"FRIEDMAN, SAMUEL R",Not Applicable,NATIONAL DEVELOPMENT & RES INSTITUTES, ,1992,736819,
EX VIVO ALLOANERGIZATION TO IMPROVE IMMUNITY AFTER HAPLOIDENTICAL TRANSPLANT,NCI,7772239,5R21CA137645-02,5,R21,CA,137645,2,,,6318904,"GUINAN, EVA C",Not Applicable,DANA-FARBER CANCER INST, ,2010,374405,
EX VIVO ALLOANERGIZATION TO IMPROVE IMMUNITY AFTER HAPLOIDENTICAL TRANSPLANT,NCI,7656464,1R21CA137645-01A1,1,R21,CA,137645,1,A1,,6318904,"GUINAN, EVA C",Not Applicable,DANA-FARBER CANCER INST, ,2009,370550,
IDENTIFICATION OF FASD IN SOUTH AFRICAN CHILDREN,NIAAA,6945947,5U01AA014790-03,5,U01,AA,14790,3,,,1976848,"JACOBSON, SANDRA W.",Not Applicable,WAYNE STATE UNIVERSITY, ,2005,164244,
IDENTIFICATION OF FASD IN SOUTH AFRICAN CHILDREN,NIAAA,6805821,5U01AA014790-02,5,U01,AA,14790,2,,,1976848,"JACOBSON, SANDRA W.",Not Applicable,WAYNE STATE UNIVERSITY, ,2004,162090,
IDENTIFICATION OF FASD IN SOUTH AFRICAN CHILDREN,NIAAA,6744231,1U01AA014790-01,1,U01,AA,14790,1,,,1976848,"JACOBSON, SANDRA W.",Not Applicable,WAYNE STATE UNIVERSITY, ,2003,174331,
TREATING SOUTH AFRICAN PREGNANT WOMEN FOR METHAMPHETAMINE,NIDA,8184625,1R21DA030565-01A1,1,R21,DA,30565,1,A1,,1857928,"JONES, HENDREE E",Not Applicable,RESEARCH TRIANGLE INSTITUTE, ,2011,162855,
IDENTIFYING PROTECTIVE FACTORS THAT REDUCE VIOLENCE AMONG MALTREATED YOUTH,NICHD,8136054,5R03HD060735-02,5,R03,HD,60735,2,,,8209700,"LEWIS, TERRI ",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2011,71942,
IDENTIFYING PROTECTIVE FACTORS THAT REDUCE VIOLENCE AMONG MALTREATED YOUTH,NICHD,7787770,1R03HD060735-01A1,1,R03,HD,60735,1,A1,,8209700,"LEWIS, TERRI ",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2010,86641,
