Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
REPORTING ADL AND IADL DEFICIT IN THE HRS--AHEAD,NIA,2408486,1R03AG014885-01,1,R03,AG,14885,1,,,1872837,"ALBERT, STEVEN M",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES, ,1997,30001,
ADVANCED CENTER FOR LATINO AND MH SYSTEMS RESEARCH,NIMH,7686294,5P50MH073469-05,5,P50,MH,73469,5,,,1888416,"ALEGRIA, MARGARITA ",Not Applicable,CAMBRIDGE HEALTH ALLIANCE, ,2009,821185,
ADVANCED CENTER FOR LATINO AND MH SYSTEMS RESEARCH,NIMH,7450744,5P50MH073469-04,5,P50,MH,73469,4,,,1888416,"ALEGRIA, MARGARITA ",Not Applicable,CAMBRIDGE HEALTH ALLIANCE, ,2008,906904,
ADVANCED CENTER FOR LATINO AND MH SYSTEMS RESEARCH,NIMH,7261835,5P50MH073469-03,5,P50,MH,73469,3,,,1888416,"ALEGRIA, MARGARITA ",Not Applicable,CAMBRIDGE HEALTH ALLIANCE, ,2007,951551,
ADVANCED CENTER FOR LATINO AND MH SYSTEMS RESEARCH,NIMH,7126841,5P50MH073469-02,5,P50,MH,73469,2,,,1888416,"ALEGRIA, MARGARITA ",Not Applicable,CAMBRIDGE HEALTH ALLIANCE, ,2006,985750,
ADVANCED CENTER FOR LATINO AND MH SYSTEMS RESEARCH,NIMH,7149664,3P50MH073469-01S1,3,P50,MH,73469,1,S1,,1888416,"ALEGRIA, MARGARITA ",Not Applicable,CAMBRIDGE HEALTH ALLIANCE, ,2006,59555,
ADVANCED CENTER FOR LATINO AND MH SYSTEMS RESEARCH,NIMH,6895298,1P50MH073469-01,1,P50,MH,73469,1,,,1888416,"ALEGRIA, MARGARITA ",Not Applicable,CAMBRIDGE HEALTH ALLIANCE, ,2005,921689,
AGING IMMIGRANTS; NATIVITY AND DECLINING HEALTH,NIA,2706099,1R03AG016135-01,1,R03,AG,16135,1,,,1908621,"ANGEL, JACQUELINE L.",Not Applicable,UNIVERSITY OF TEXAS AUSTIN, ,1998,73807,
HEALTH CARE PERCEPTIONS AND ISSUES FOR RURAL ELDERS,NINR,6848423,1R15NR008217-01A2,1,R15,NR,8217,1,A2,,1959722,"AVERILL, JENNIFER BATES",Not Applicable,UNIVERSITY OF NEW MEXICO, ,2005,224000,
TRAINING CORE,NIMHD,8301491,5P20MD002317-05,5,P20,MD,2317,5,,9002,9273990,"BABCOCK, MIKE ",Not Applicable,MONTANA STATE UNIVERSITY - BOZEMAN, ,2011,,2967
TRAINING CORE,NCMHD,8099594,5P20MD002317-04,5,P20,MD,2317,4,,9002,9273990,"BABCOCK, MIKE ",Not Applicable,MONTANA STATE UNIVERSITY - BOZEMAN, ,2010,,2443
TRAINING CORE,NCMHD,7888281,5P20MD002317-03,5,P20,MD,2317,3,,9002,9273990,"BABCOCK, MIKE ",Not Applicable,MONTANA STATE UNIVERSITY - BOZEMAN, ,2009,,2657
TRAINING CORE,NCMHD,7648224,5P20MD002317-02,5,P20,MD,2317,2,,9002,9273990,"BABCOCK, MIKE ",Not Applicable,MONTANA STATE UNIVERSITY - BOZEMAN, ,2008,,2853
TRAINING CORE,NCMHD,7339255,1P20MD002317-01,1,P20,MD,2317,1,,9002,9273990,"BABCOCK, MIKE ",Not Applicable,MONTANA STATE UNIVERSITY - BOZEMAN, ,2007,,1553
BEHAVIOR PROBLEMS IN INFANCY: A PREVENTIVE INTERVENTION,NIMH,8452580,5K23MH085659-04,5,K23,MH,85659,4,,,8828818,"BAGNER, DANIEL MARC",Not Applicable,FLORIDA INTERNATIONAL UNIVERSITY, ,2013,177165,
BEHAVIOR PROBLEMS IN INFANCY: A PREVENTIVE INTERVENTION,NIMH,8269056,5K23MH085659-03,5,K23,MH,85659,3,,,8828818,"BAGNER, DANIEL MARC",Not Applicable,FLORIDA INTERNATIONAL UNIVERSITY, ,2012,177762,
BEHAVIOR PROBLEMS IN INFANCY: A PREVENTIVE INTERVENTION,NIMH,8110473,5K23MH085659-02,5,K23,MH,85659,2,,,8828818,"BAGNER, DANIEL MARC",Not Applicable,FLORIDA INTERNATIONAL UNIVERSITY, ,2011,178338,
BEHAVIOR PROBLEMS IN INFANCY: A PREVENTIVE INTERVENTION,NIMH,7988371,1K23MH085659-01A2,1,K23,MH,85659,1,A2,,8828818,"BAGNER, DANIEL MARC",Not Applicable,FLORIDA INTERNATIONAL UNIVERSITY, ,2010,178222,
DOMINICAN HERBAL MEDICINE: PLANTS USED FOR INFLAMMATION,NCCAM,7107262,5R21AT001889-03,5,R21,AT,1889,3,,,2449530,"BALICK, MICHAEL J",Not Applicable,NEW YORK BOTANICAL GARDEN, ,2006,182134,
DOMINICAN HERBAL MEDICINE: PLANTS USED FOR INFLAMMATION,NCCAM,6947925,5R21AT001889-02,5,R21,AT,1889,2,,,2449530,"BALICK, MICHAEL J",Not Applicable,NEW YORK BOTANICAL GARDEN, ,2005,209770,
DOMINICAN HERBAL MEDICINE: PLANTS USED FOR INFLAMMATION,NCCAM,6824152,1R21AT001889-01A1,1,R21,AT,1889,1,A1,,2449530,"BALICK, MICHAEL J",Not Applicable,NEW YORK BOTANICAL GARDEN, ,2004,152936,
DRUG-FREE WORKPLACE CONFERENCE: A MULTICULTURAL APPROACH,CSAP,3060255,1H13SP005455-01,1,H13,SP,5455,1,,,3717688,"BAVA, DAN ",Not Applicable,COUNTY OF SAN JOAQUIN, ,1992,,
CANCER POPULATION SCIENCES RESEARCH PROGRAM,NCI,8723070,5P30CA118100-10,5,P30,CA,118100,10,,6315,1894232,"BERWICK, MARIANNE ",Not Applicable,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR, ,2014,,73031
CANCER POPULATION SCIENCES RESEARCH PROGRAM,NCI,8723096,3P30CA118100-09S2,3,P30,CA,118100,9,S2,6315,1894232,"BERWICK, MARIANNE ",Not Applicable,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR, ,2013,,6252
CANCER POPULATION SCIENCES RESEARCH PROGRAM,NCI,8545060,5P30CA118100-09,5,P30,CA,118100,9,,6315,1894232,"BERWICK, MARIANNE ",Not Applicable,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR, ,2013,,70488
CANCER POPULATION SCIENCES RESEARCH PROGRAM,NCI,8545058,3P30CA118100-08S2,3,P30,CA,118100,8,S2,6315,1894232,"BERWICK, MARIANNE ",Not Applicable,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR, ,2012,,4167
CANCER POPULATION SCIENCES RESEARCH PROGRAM,NCI,8545055,3P30CA118100-08S1,3,P30,CA,118100,8,S1,6315,1894232,"BERWICK, MARIANNE ",Not Applicable,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR, ,2012,,7778
CANCER POPULATION SCIENCES RESEARCH PROGRAM,NCI,8379117,5P30CA118100-08,5,P30,CA,118100,8,,6315,1894232,"BERWICK, MARIANNE ",Not Applicable,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR, ,2012,,75493
EARLY ONTOGENY OF ATTUNEMENT TO THE LANGUAGE ENVIRONMENT,NIDCD,7037437,5R01DC000403-17,5,R01,DC,403,17,,,1906002,"BEST, CATHERINE T.",Not Applicable,"HASKINS LABORATORIES, INC.", ,2006,663000,
EARLY ONTOGENY OF ATTUNEMENT TO THE LANGUAGE ENVIRONMENT,NIDCD,6881504,5R01DC000403-16,5,R01,DC,403,16,,,1906002,"BEST, CATHERINE T.",Not Applicable,"HASKINS LABORATORIES, INC.", ,2005,663958,
EARLY ONTOGENY OF ATTUNEMENT TO THE LANGUAGE ENVIRONMENT,NIDCD,6731190,5R01DC000403-15,5,R01,DC,403,15,,,1906002,"BEST, CATHERINE T.",Not Applicable,"HASKINS LABORATORIES, INC.", ,2004,639984,
EARLY ONTOGENY OF ATTUNEMENT TO THE LANGUAGE ENVIRONMENT,NIDCD,6878243,7R01DC000403-14,7,R01,DC,403,14,,,1906002,"BEST, CATHERINE T.",Not Applicable,"HASKINS LABORATORIES, INC.", ,2003,151020
EARLY ONTOGENY OF ATTUNEMENT TO THE LANGUAGE ENVIRONMENT,NIDCD,6624497,5R01DC000403-13,5,R01,DC,403,13,,,1906002,"BEST, CATHERINE T.",Not Applicable,WESLEYAN UNIVERSITY, ,2003,411597
EARLY ONTOGENY OF ATTUNEMENT TO THE LANGUAGE ENVIRONMENT,NIDCD,6475379,2R01DC000403-12A1,2,R01,DC,403,12,A1,,1906002,"BEST, CATHERINE T.",Not Applicable,WESLEYAN UNIVERSITY, ,2002,584297
MODIFIABLE PROTECTIVE PROCESSES IN THE MENTAL HEALTH OF REFUGEE CHILDREN,NIMH,8246440,5K01MH077246-05,5,K01,MH,77246,5,,,8468963,"BETANCOURT, THERESA STICHICK",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2012,173692
MODIFIABLE PROTECTIVE PROCESSES IN THE MENTAL HEALTH OF REFUGEE CHILDREN,NIMH,8021779,5K01MH077246-04,5,K01,MH,77246,4,,,8468963,"BETANCOURT, THERESA STICHICK",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2011,175772
MODIFIABLE PROTECTIVE PROCESSES IN THE MENTAL HEALTH OF REFUGEE CHILDREN,NIMH,7770821,5K01MH077246-03,5,K01,MH,77246,3,,,8468963,"BETANCOURT, THERESA STICHICK",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2010,170990
MODIFIABLE PROTECTIVE PROCESSES IN THE MENTAL HEALTH OF REFUGEE CHILDREN,NIMH,7588740,5K01MH077246-02,5,K01,MH,77246,2,,,8468963,"BETANCOURT, THERESA STICHICK",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2009,166358
MODIFIABLE PROTECTIVE PROCESSES IN THE MENTAL HEALTH OF REFUGEE CHILDREN,NIMH,7385478,1K01MH077246-01A2,1,K01,MH,77246,1,A2,,8468963,"BETANCOURT, THERESA STICHICK",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2008,162825
BRIDGING THE GAP: A PATIENT-CENTERED CURRICULUM FOR CULTURAL COMPETENCE,NHLBI,7435190,5K07HL081467-03,5,K07,HL,81467,3,,,8147389,"BICKLEY, LYNN ",Not Applicable,TEXAS TECH UNIVERSITY HEALTH SCIS CENTER, ,2008,91235
BRIDGING THE GAP: A PATIENT-CENTERED CURRICULUM FOR CULTURAL COMPETENCE,NHLBI,7288347,5K07HL081467-02,5,K07,HL,81467,2,,,8147389,"BICKLEY, LYNN ",Not Applicable,TEXAS TECH UNIVERSITY HEALTH SCIS CENTER, ,2007,91235
BRIDGING THE GAP: A PATIENT-CENTERED CURRICULUM FOR CULTURAL COMPETENCE,NHLBI,7137497,1K07HL081467-01A1,1,K07,HL,81467,1,A1,,8147389,"BICKLEY, LYNN ",Not Applicable,TEXAS TECH UNIVERSITY HEALTH SCIS CENTER, ,2006,91235
SHORT-TERM RESEARCH EDUCATION PROGRAM TO INCREASE DIVERSITY IN HEALTH-RELATED RES,NHLBI,8798688,5R25HL115510-04,5,R25,HL,115510,4,,,7768234,"BIERER, BARBARA E",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL, ,2015,138940
SHORT-TERM RESEARCH EDUCATION PROGRAM TO INCREASE DIVERSITY IN HEALTH-RELATED RES,NHLBI,8624708,5R25HL115510-03,5,R25,HL,115510,3,,,7768234,"BIERER, BARBARA E",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL, ,2014,138940
CHILD AND FAMILY DEVELOPMENT ACROSS THE FIRST TWO+ DECADES OF LIFE,NICHD,8941458,1ZIAHD001119-27,1,ZIA,HD,1119,27,,,6571095,"BORNSTEIN, MARC H",Not Applicable,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT, ,2014,1728589
CHILD AND FAMILY DEVELOPMENT ACROSS THE FIRST TWO+ DECADES OF LIFE,NICHD,8736839,1ZIAHD001119-26,1,ZIA,HD,1119,26,,,6571095,"BORNSTEIN, MARC H",Not Applicable,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT, ,2013,1707287
CHILD AND FAMILY DEVELOPMENT ACROSS THE FIRST TWO+ DECADES OF LIFE,NICHD,8553868,1ZIAHD001119-25,1,ZIA,HD,1119,25,,,6571095,"BORNSTEIN, MARC H",Not Applicable,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT, ,2012,1848568
CHILD AND FAMILY DEVELOPMENT ACROSS THE FIRST TWO+ DECADES OF LIFE,NICHD,8351131,1ZIAHD001119-24,1,ZIA,HD,1119,24,,,6571095,"BORNSTEIN, MARC H",Not Applicable,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT, ,2011,1997693
CHILD AND FAMILY DEVELOPMENT ACROSS THE FIRST THREE DECADES OF LIFE,NICHD,8149264,1ZIAHD001119-23,1,ZIA,HD,1119,23,,,6571095,"BORNSTEIN, MARC H",Not Applicable,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT, ,2010,1844853
CHILD AND FAMILY DEVELOPMENT IN THE FIRST TWO DECADES OF,NICHD,7333965,1Z01HD001119-19,1,Z01,HD,1119,19,,,6571095,"BORNSTEIN, MARC H",Not Applicable,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT, ,2006,
CHILD AND FAMILY DEVELOPMENT IN THE FIRST TWO DECADES OF,NICHD,7208372,1Z01HD001119-18,1,Z01,HD,1119,18,,,6571095,"BORNSTEIN, MARC H",Not Applicable,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT, ,2005,
CHILD AND FAMILY DEVELOPMENT IN THE FIRST TWO DECADES OF,NICHD,6992828,1Z01HD001119-17,1,Z01,HD,1119,17,,,6571095,"BORNSTEIN, MARC H",Not Applicable,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT, ,2004,
NIH MBRS IMSD PROGRAM AT THE UNIVERSITY OF COLORADO,NIGMS,7793381,5R25GM066728-08,5,R25,GM,66728,8,,,1964840,"BOSWELL, ROBERT E",Not Applicable,UNIVERSITY OF COLORADO, ,2010,288844
NIH MBRS IMSD PROGRAM AT THE UNIVERSITY OF COLORADO,NIGMS,7595214,5R25GM066728-07,5,R25,GM,66728,7,,,1964840,"BOSWELL, ROBERT E",Not Applicable,UNIVERSITY OF COLORADO, ,2009,281391
NIH MBRS IMSD PROGRAM AT THE UNIVERSITY OF COLORADO,NIGMS,7367183,5R25GM066728-06,5,R25,GM,66728,6,,,1964840,"BOSWELL, ROBERT E",Not Applicable,UNIVERSITY OF COLORADO, ,2008,273994
NIH MBRS IMSD PROGRAM AT THE UNIVERSITY OF COLORADO,NIGMS,7177195,2R25GM066728-05,2,R25,GM,66728,5,,,1964840,"BOSWELL, ROBERT E",Not Applicable,UNIVERSITY OF COLORADO, ,2007,267128
A MULTICULTURAL PARTNERSHIP FOR URBAN-BASED COMMUNITY,DADHP,2438894,1D38AH000109-01,1,D38,AH,109,1,,,1859566,"BRAITHWAITE, RONALD LLOYD",Not Applicable,EMORY UNIVERSITY, ,1997,
USER DRIVEN VS TRADITIONAL OUTREACH TO COMBAT AIDS,NIDA,2599615,3R01DA008014-05S1,3,R01,DA,8014,5,S1,,6170743,"BROADHEAD, ROBERT S",Not Applicable,UNIVERSITY OF CONNECTICUT STORRS, ,1997,139961
USER-DRIVEN VS TRADITIONAL OUTREACH TO COMBAT AIDS,NIDA,2414590,5R01DA008014-05,5,R01,DA,8014,5,,,6170743,"BROADHEAD, ROBERT S",Not Applicable,UNIVERSITY OF CONNECTICUT STORRS, ,1997,540435
USER-DRIVEN VS TRADITIONAL OUTREACH TO COMBAT AIDS,NIDA,2120456,5R01DA008014-03,5,R01,DA,8014,3,,,6170743,"BROADHEAD, ROBERT S",Not Applicable,UNIVERSITY OF CONNECTICUT STORRS, ,1995,487997
USER-DRIVEN VS TRADITIONAL OUTREACH TO COMBAT AIDS,NIDA,2120455,5R01DA008014-02,5,R01,DA,8014,2,,,6170743,"BROADHEAD, ROBERT S",Not Applicable,UNIVERSITY OF CONNECTICUT STORRS, ,1994,506212
USER-DRIVEN VS TRADITIONAL OUTREACH TO COMBAT AIDS,NIDA,3214593,1R01DA008014-01,1,R01,DA,8014,1,,,6170743,"BROADHEAD, ROBERT S",Not Applicable,UNIVERSITY OF CONNECTICUT STORRS, ,1993,539430
ADOLESCENT MEDICINE HIV/AIDS RESEARCH NETWORK,NICHD,2206128,3U01HD032858-01S1,3,U01,HD,32858,1,S1,,1963544,"BROMAN, MARYLYN E",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,1995,82188
ADOLESCENT MEDICINE HIV/AIDS RESEARCH NETWORK,NICHD,2206127,1U01HD032858-01,1,U01,HD,32858,1,,,1963544,"BROMAN, MARYLYN E",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,1994,254920
