Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
ADMINISTRATIVE CORE,NIMHD,8473105,5P60MD003428-05,5,P60,MD,3428,5,,5643,6805802,"ADAMS, ALEXANDRA K.",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON, ,2013,,178271
ADMINISTRATIVE CORE,NIMHD,8379306,5P60MD003428-04,5,P60,MD,3428,4,,5643,6805802,"ADAMS, ALEXANDRA K.",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON, ,2012,,396160
ADMINISTRATIVE CORE,NIMHD,8313663,5P60MD003428-03,5,P60,MD,3428,3,,5643,6805802,"ADAMS, ALEXANDRA K.",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON, ,2011,,396123
ADMINISTRATIVE CORE,NCMHD,8080457,5P60MD003428-02,5,P60,MD,3428,2,,5643,6805802,"ADAMS, ALEXANDRA K.",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON, ,2010,,396239
ADMINISTRATIVE CORE,NCMHD,7753468,1P60MD003428-01,1,P60,MD,3428,1,,5643,6805802,"ADAMS, ALEXANDRA K.",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON, ,2009,,388643
DEEP SOUTH RESOURCE CENTER FOR MINORITY AGING RESEARCH,NIA,8090456,5P30AG031054-05,5,P30,AG,31054,5,,,1873637,"ALLMAN, RICHARD MARK",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2011,701514,
DEEP SOUTH RESOURCE CENTER FOR MINORITY AGING RESEARCH,NIA,8141821,3P30AG031054-04S2,3,P30,AG,31054,4,S2,,1873637,"ALLMAN, RICHARD MARK",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2010,132868,
DEEP SOUTH RESOURCE CENTER FOR MINORITY AGING RESEARCH,NIA,8097709,3P30AG031054-04S1,3,P30,AG,31054,4,S1,,1873637,"ALLMAN, RICHARD MARK",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2010,93350,
DEEP SOUTH RESOURCE CENTER FOR MINORITY AGING RESEARCH,NIA,7883431,5P30AG031054-04,5,P30,AG,31054,4,,,1873637,"ALLMAN, RICHARD MARK",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2010,525389,
DEEP SOUTH RESOURCE CENTER FOR MINORITY AGING RESEARCH,NIA,7666746,5P30AG031054-03,5,P30,AG,31054,3,,,1873637,"ALLMAN, RICHARD MARK",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2009,667804,
DEEP SOUTH RESOURCE CENTER FOR MINORITY AGING RESEARCH,NIA,7687674,3P30AG031054-02S1,3,P30,AG,31054,2,S1,,1873637,"ALLMAN, RICHARD MARK",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2008,127093,
DEEP SOUTH RESOURCE CENTER FOR MINORITY AGING RESEARCH,NIA,7502198,5P30AG031054-02,5,P30,AG,31054,2,,,1873637,"ALLMAN, RICHARD MARK",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2008,547223,
DEEP SOUTH RESOURCE CENTER FOR MINORITY AGING RESEARCH,NIA,7339926,1P30AG031054-01,1,P30,AG,31054,1,,,1873637,"ALLMAN, RICHARD MARK",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2007,576890,
CORNELL BIOMEDICINES AND CONTROL OF TROPICAL INFECTIOUS DISEASES AND VECTORS,NCMHD,7450733,5T37MD001426-11,5,T37,MD,1426,11,,,9386205,"AREGULLIN, MANUEL A",Not Applicable,CORNELL UNIVERSITY, ,2008,158725,
BORDER HEALTH EDUCATION INTERNET ACCESS,NLM,7225994,5G07LM008821-02,5,G07,LM,8821,2,,,8140474,"ATANGANA, EDOUARD ",Not Applicable,CATHOLIC DIOCESE OF BROWNSVILLE, ,2007,8000,
EXPLORING BIOMEDICAL RESEARCH OPPORTUNITIES (EBRO),NIDDK,7269085,1R25DK078391-01,1,R25,DK,78391,1,,,1921546,"BARBOUR, SUZANNE E",Not Applicable,VIRGINIA COMMONWEALTH UNIVERSITY, ,2007,171680
MBRS RESEARCH INITIATIVE FOR SCIENTIFIC ENHANCEMENT,NIGMS,7233982,5R25GM061347-08,5,R25,GM,61347,8,,,6075748,"BIGGER, CHARLES H",Not Applicable,FLORIDA INTERNATIONAL UNIVERSITY, ,2007,551781
UNIVERSITY OF MINNESOTA CLINICAL AND TRANSLATIONAL SCIENCE INSTITUTE (UMN CTSI),NCRR,8262018,1KL2RR033182-01,1,KL2,RR,33182,1,,,1876457,"BLAZAR, BRUCE R.",Not Applicable,UNIVERSITY OF MINNESOTA, ,2011,1360530
UNIVERSITY OF MINNESOTA CLINICAL AND TRANSLATIONAL SCIENCE INSTITUTE (UMN CTSI),NCATS,8857268,5KL2TR000113-05,5,KL2,TR,113,5,,,1876457,"BLAZAR, BRUCE R.",Not Applicable,UNIVERSITY OF MINNESOTA, ,2015,1360530
UNIVERSITY OF MINNESOTA CLINICAL AND TRANSLATIONAL SCIENCE INSTITUTE (UMN CTSI),NCATS,8636505,5KL2TR000113-04,5,KL2,TR,113,4,,,1876457,"BLAZAR, BRUCE R.",Not Applicable,UNIVERSITY OF MINNESOTA, ,2014,1360530
UNIVERSITY OF MINNESOTA CLINICAL AND TRANSLATIONAL SCIENCE INSTITUTE (UMN CTSI),NCATS,8490516,5KL2TR000113-03,5,KL2,TR,113,3,,,1876457,"BLAZAR, BRUCE R.",Not Applicable,UNIVERSITY OF MINNESOTA, ,2013,1360530
UNIVERSITY OF MINNESOTA CLINICAL AND TRANSLATIONAL SCIENCE INSTITUTE (UMN CTSI),NCATS,8269721,8KL2TR000113-02,8,KL2,TR,113,2,,,1876457,"BLAZAR, BRUCE R.",Not Applicable,UNIVERSITY OF MINNESOTA, ,2012,1360530
OPTIMIZING OUTCOMES IN BIPOLAR ILLNESS INTERVENTIONS IN HISPANIC COMMUNITIES,NIMH,8885888,5P30MH086045-05,5,P30,MH,86045,5,,,2403070,"BOWDEN, CHARLES LEE",Not Applicable,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER, ,2015,465597
OPTIMIZING OUTCOMES IN BIPOLAR ILLNESS INTERVENTIONS IN HISPANIC COMMUNITIES,NIMH,8730218,5P30MH086045-04,5,P30,MH,86045,4,,,2403070,"BOWDEN, CHARLES LEE",Not Applicable,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER, ,2014,693641
OPTIMIZING OUTCOMES IN BIPOLAR ILLNESS INTERVENTIONS IN HISPANIC COMMUNITIES,NIMH,8533805,5P30MH086045-03,5,P30,MH,86045,3,,,2403070,"BOWDEN, CHARLES LEE",Not Applicable,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER, ,2013,656299
OPTIMIZING OUTCOMES IN BIPOLAR ILLNESS INTERVENTIONS IN HISPANIC COMMUNITIES,NIMH,8335401,5P30MH086045-02,5,P30,MH,86045,2,,,2403070,"BOWDEN, CHARLES LEE",Not Applicable,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER, ,2012,696732
CSUSM BRIDGES TO THE FUTURE,NIGMS,7644468,5R25GM066341-08,5,R25,GM,66341,8,,,8012642,"BRAY, RICHARD NEWTON",Not Applicable,CALIFORNIA STATE UNIVERSITY SAN MARCOS, ,2009,214362
CSUSM BRIDGES TO THE FUTURE,NIGMS,7430653,2R25GM066341-07,2,R25,GM,66341,7,,,8012642,"BRAY, RICHARD NEWTON",Not Applicable,CALIFORNIA STATE UNIVERSITY SAN MARCOS, ,2008,206367
NORTH SAN DIEGO COUNTY BRIDGES TO THE FUTURE PROGRAM,NIGMS,7255733,5R25GM066341-06,5,R25,GM,66341,6,,,8012642,"BRAY, RICHARD NEWTON",Not Applicable,CALIFORNIA STATE UNIVERSITY SAN MARCOS, ,2007,211975
