----------------------------------------------------------------------------------Search Criteria: Text Search: multiethnic (and);Search in: Projects 		AdminIC: All; Fiscal Year: All Fiscal Years----------------------------------------------------------------------------------Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects),
"MOLECULAR BASIS OF AUTOSOMAL DOMINANT HYPERCHOLESTEROLEMIA IN A MULTIETHNIC COHOR",NHLBI,"8842189",5K23HL114884-03,5,K23,HL,114884,03,,,"9555774","AHMAD, ZAHID ",Not Applicable,"UT SOUTHWESTERN MEDICAL CENTER", ,2015,155250,
"MOLECULAR BASIS OF AUTOSOMAL DOMINANT HYPERCHOLESTEROLEMIA IN A MULTIETHNIC COHOR",NHLBI,"8724548",5K23HL114884-02,5,K23,HL,114884,02,,,"9555774","AHMAD, ZAHID ",Not Applicable,"UT SOUTHWESTERN MEDICAL CENTER", ,2014,155250,
"MOLECULAR BASIS OF AUTOSOMAL DOMINANT HYPERCHOLESTEROLEMIA IN A MULTIETHNIC COHOR",NHLBI,"8510142",1K23HL114884-01A1,1,K23,HL,114884,01,A1,,"9555774","AHMAD, ZAHID ",Not Applicable,"UT SOUTHWESTERN MEDICAL CENTER", ,2013,155250,
"ALCOHOL CONSUMPTION AND COMPLICATIONS OF DIABETES",NIAAA,"7414384",5R21AA015721-03,5,R21,AA,015721,03,,,"7313521","AHMED, AMEENA T",Not Applicable,"KAISER FOUNDATION RESEARCH INSTITUTE", ,2008,135322,
"ALCOHOL CONSUMPTION AND COMPLICATIONS OF DIABETES",NIAAA,"7244105",5R21AA015721-02,5,R21,AA,015721,02,,,"7313521","AHMED, AMEENA T",Not Applicable,"KAISER FOUNDATION RESEARCH INSTITUTE", ,2007,134031,
"ALCOHOL CONSUMPTION AND COMPLICATIONS OF DIABETES",NIAAA,"7099896",1R21AA015721-01A1,1,R21,AA,015721,01,A1,,"7313521","AHMED, AMEENA T",Not Applicable,"KAISER FOUNDATION RESEARCH INSTITUTE", ,2006,136745,
"PHYSICAL ACTIVITY IN WOMEN WITH INFANTS",NCI,"7898769",5R01CA115614-04,5,R01,CA,115614,04,,,"8362856","ALBRIGHT, CHERYL LYNN",Not Applicable,"UNIVERSITY OF HAWAII AT MANOA", ,2010,448125,
"PHYSICAL ACTIVITY IN WOMEN WITH INFANTS",NCI,"7909374",3R01CA115614-03S1,3,R01,CA,115614,03,S1,,"8362856","ALBRIGHT, CHERYL LYNN",Not Applicable,"UNIVERSITY OF HAWAII AT MANOA",YES,2009,232529,
"PHYSICAL ACTIVITY IN WOMEN WITH INFANTS",NCI,"7665076",5R01CA115614-03,5,R01,CA,115614,03,,,"8362856","ALBRIGHT, CHERYL LYNN",Not Applicable,"UNIVERSITY OF HAWAII AT MANOA", ,2009,472997,
"PHYSICAL ACTIVITY IN WOMEN WITH INFANTS",NCI,"7502665",5R01CA115614-02,5,R01,CA,115614,02,,,"8362856","ALBRIGHT, CHERYL LYNN",Not Applicable,"UNIVERSITY OF HAWAII AT MANOA", ,2008,485953,
