Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
METHAMPHETAMINE ABUSE: LONG-TERM TRAJECTORIES; CORRELATES; TREATMENT EFFECTS,NIDA,8262170,5R01DA025113-04,5,R01,DA,25113,4,,,1880438,"BRECHT, MARY-LYNN ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2012,540663,
METHAMPHETAMINE ABUSE: LONG-TERM TRAJECTORIES; CORRELATES; TREATMENT EFFECTS,NIDA,8067898,5R01DA025113-03,5,R01,DA,25113,3,,,1880438,"BRECHT, MARY-LYNN ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2011,564711,
METHAMPHETAMINE ABUSE: LONG-TERM TRAJECTORIES; CORRELATES; TREATMENT EFFECTS,NIDA,7879240,5R01DA025113-02,5,R01,DA,25113,2,,,1880438,"BRECHT, MARY-LYNN ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2010,582245,
METHAMPHETAMINE ABUSE: LONG-TERM TRAJECTORIES; CORRELATES; TREATMENT EFFECTS,NIDA,7730758,1R01DA025113-01A1,1,R01,DA,25113,1,A1,,1880438,"BRECHT, MARY-LYNN ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2009,588113,
A NOVEL MECHANISM FOR LEF1 PROMOTER REGULATION IN COLON CANCER,NCI,8914955,5F32CA186620-02,5,F32,CA,186620,2,,,10311359,"DENMON, ANDRIA ",Not Applicable,UNIVERSITY OF CALIFORNIA-IRVINE, ,2015,54194,
A NOVEL MECHANISM FOR LEF1 PROMOTER REGULATION IN COLON CANCER,NCI,8718884,1F32CA186620-01,1,F32,CA,186620,1,,,10311359,"DENMON, ANDRIA ",Not Applicable,UNIVERSITY OF CALIFORNIA-IRVINE, ,2014,51530,
HISPANIC DRINKING AND INTRAFAMILY VIOLENCE,NIAAA,2045278,5R01AA009070-03,5,R01,AA,9070,3,,,8664506,"KANTOR, GLENDA KAUFMAN",Not Applicable,UNIVERSITY OF NEW HAMPSHIRE, ,1994,178139,
HISPANIC DRINKING AND INTRA-FAMILY VIOLENCE,NIAAA,3113200,5R01AA009070-02,5,R01,AA,9070,2,,,8664506,"KANTOR, GLENDA KAUFMAN",Not Applicable,UNIVERSITY OF NEW HAMPSHIRE, ,1993,170755,
HISPANIC DRINKING AND INTRA-FAMILY VIOLENCE,NIAAA,2045276,1R01AA009070-01,1,R01,AA,9070,1,,,8664506,"KANTOR, GLENDA KAUFMAN",Not Applicable,UNIVERSITY OF NEW HAMPSHIRE, ,1992,699615,
BEHAVIORAL TECHNOLOGIES FOR PREDICTING HIV RISK,NIDA,8820476,3R01DA018647-10S1,3,R01,DA,18647,10,S1,,6834711,"LEJUEZ, CARL W",Not Applicable,"UNIV OF MARYLAND, COLLEGE PARK", ,2014,91107,
