year,Total
1938,464
1939,464 
1940,707 
1941,711
1942,700
1943,1278
1944,2735
1945,2835
1946,3415
1947,8075
1948,24626
1949,28540
1950,52714
1951,64755
1952,56928
1953,58610
1954,70799
1955,81151
1956,98509
1957,177816
1958,210423
1959,291817
1960,399380
1961,551023
1962,740206
1963,880241
1964,867369
1965,959159
1966,1100519
1967,1014254
1968,1076461
1969,1109757
1970,1061007
1971,1212847
1972,1506156
1973,1762565
1974,1790425
1975,2092897
1976,2741233
1977,2543538
1978,2842936
1979,3189976
1980,3428935
1981,3569406
1982,3641875
1983,4023969
1984,4493588
1985,5149459
1986,5262211
1987,6182910
1988,6666693
1989,7144765
1990,7576352
1991,8274739
1992,8921687
1993,10335996
1994,10995783
1995,11299522
1996,11927562
1997,12740843
1998,13674843
1999,15629156
2000,17840587
2001,20458556
2002,23321382
2003,27166715
2004,28036627
2005,28594357
2006,28560417
2007,29178504
2008,29607070
2009,30545098
2010,31238000
2011,30916345
2012,30860913
2013,29315822
2014,30142653 
