year,Total
1951,1.14
1952,25.22
1953,31.56
1954,56.06
1955,87.29
1956,108.97
1957,253.8
1958,315.66
1959,834.36
1960,982.11
1961,1068.85
1962,1577.07
1963,1915.8
1964,2092.36
1965,2412.33
1966,2645.71
1967,2562.23
1968,2664.82
1969,2202.54
1970,2234.94
1971,2281.92
1972,2636.96
1973,2568.02
1974,2536.73
1975,2468.65
1976,2412.72
1977,2459.96
1978,2495.15
1979,2497.69
1980,2416.76
1981,2337.43
1982,2110.85
1983,2229.23
1984,2554.36
1985,2850.98
1986,2761.68
1987,2944.68
1988,3019.18
1989,3178.81
1990,3295.55
1991,3681.36
1992,3905.64
1993,4118.48
1994,4378.67
1995,4694.03
1996,4518.02
1997,4567.76
1998,4685.71
1999,4984.33
2000,5191.82
2001,5762.45
2002,6070.91
2003,6699.87
2004,6882.12
2005,6470.45
2006,6455.33
2007,6550.95
2008,6636.18
2009,9563.2
2010,8093.42
2011,7246.7
2012,7320.66
2013,7005.23
