year,Total
1960,2
1961,6
1962,7
1963,12
1964,12
1965,15
1966,13
1967,76
1968,133
1969,414
1970,292
1971,720
1972,1389
1973,1737
1974,3489
1975,5422
1976,7157
1977,8329
1978,8187
1979,8082
1980,8145
1981,7550
1982,6327
1983,6677
1984,7698
1985,8554
1986,7465
1987,8487
1988,8562
1989,8699
1990,9746
1991,10821
1992,10735
1993,9441
1994,10587
1995,9692
1996,9862
1997,10166
1998,9758
1999,9773
2000,10367
2001,10476
2002,10825
2003,11492
2004,10921
2005,10333
2006,11032
2007,12053
2008,11727
2009,15494
2010,13606
2011,11898
2012,12385
2013,11693
2014,11918 
2015,12843 
