ID,Grant Agency,Term,Start Year,Organization Name,Project Title,Support Year,Grant Type,Award Amount,State,TermCode,AgencyCode
0,NSF,bicultural,2013,American Indian Science and Engineering Society (AISES),"Collaborative Research to Understand the Role of Culture, Identity, Epistemology and Bi-Cultural Efficacy in American Indian Educational and Professional Success in STEM",2.0,1.0,"$347,496.00",NM,6,2
1,NSF,bicultural,2013,Northwestern University,"Collaborative Research to Understand the Role of Culture, Identity, Epistemology and Bi-Cultural Efficacy in American Indian Educational and Professional Success in STEM",2.0,1.0,"$311,981.00",IL,6,2
2,NSF,bicultural,2013,University of New Mexico Health Sciences Center,"Collaborative Research to Understand the Role of Culture, Identity, Epistemology and Bi-Cultural Efficacy in American Indian Educational and Professional Success in STEM",2.0,1.0,"$732,512.00",NM,6,2
3,NSF,bicultural,2008,University of Michigan Ann Arbor,Doctoral Dissertation Research: Language of Administration as a Source of Measurement Error: Implications for Survys of Immigrants and Cross-cultural Survey Research,7.0,1.0,"$6,920.00",MI,6,2
4,NSF,bicultural,1984,Northern Arizona University,Outdoor World Science - A Model Bicultural High School Science Program for American Indian Students,31.0,1.0,"$261,256.00",AZ,6,2
5,NSF,bicultural,1971,Stanford University School of Medicine,AN ETHNOHISTORY OF THE DEVELOPMENT OF A HEALTH CENTER IN A  BI-CULTURAL COMMUNITY,44.0,,"$30,700.00",CA,6,2
6,NSF,bicultural,2011,Lehigh University,Collaborative Research: Cross-Language Lexical Interaction,4.0,1.0,"$212,253.00",PA,6,2
7,NSF,bicultural,1997,University of Alaska Fairbanks Campus,"Symposium: Ioann Veniaminov in Alaska and Siberia and His Contributions to Arctic Social Science, University of Alaska, Fairbanks, December 5-7, 1997",18.0,1.0,"$20,000.00",AK,6,2
8,NSF,bicultural,1995,University of Pennsylvania,Investigating Conflict in Top Management Teams of US-Foreign Joint Ventures,20.0,1.0,"$17,970.00",PA,6,2
9,NSF,bicultural,2007,Northwestern University,Cross-Cultural Neuroimaging of the Self,8.0,1.0,"$189,284.00",IL,6,2
10,NSF,bicultural,2004,University of Texas at El Paso,UMEB: Integrating Environmental Biology and Molecular Approaches at the University of Texas at El Paso,11.0,2.0,"$499,948.00",TX,6,2
11,NSF,bicultural,2011,Princeton University,Doctoral Dissertation Research: Entrepreneurship and Mobility in Immigrant Enclaves,4.0,1.0,"$8,977.00",NJ,6,2
12,NSF,bicultural,2004,University of North Texas,"Resource Depression and Subsistence Change in Northland, New Zealand",11.0,1.0,"$79,859.00",TX,6,2
13,NSF,bicultural,2011,Pennsylvania State Univ University Park,Collaborative Research: Cross-Language Lexical Interaction,4.0,1.0,"$270,734.00",PA,6,2
14,NSF,bicultural,2009,The New School,Doctoral Dissertation Research: How Children Learn Identity and Difference,6.0,1.0,"$11,600.00",NY,6,2
15,NSF,bicultural,2007,University of Connecticut,Doctoral Dissertation Improvement Grant- Social Boundaries and Cultural Identity in Costa Rica: Implications for the Well-Being of Nicaraguan Immigrants,8.0,1.0,"$13,500.00",CT,6,2
16,NSF,bicultural,1989,University of Houston,AIDS Transmission in Western Africa: An Anthropological Approach,26.0,1.0,"$12,000.00",TX,6,2
17,NSF,bicultural,2010,Rutgers University New Brunswick,EAGER: The Psychosocial Process Model of Minority Categorization for Perceivers,5.0,1.0,"$245,272.00",NJ,6,2
18,NSF,bicultural,2004,CUNY Brooklyn College,"On the Relationship between Bilingualism, Biculturalism and Creativity",11.0,1.0,"$12,000.00",NY,6,2
19,NSF,bicultural,1998,University Corporation at Monterey Bay,University Research Support for High School Science,17.0,2.0,"$535,452.00",CA,6,2
20,NSF,bicultural,2001,University of Texas - Pan American,"Developmental Planning Grant for the South Texas Mathematics, Science & Technology Center for Learning and Teaching (ST*MST*CLT)",14.0,1.0,"$200,000.00",TX,6,2
21,NSF,bicultural,2004,Texas State University - San Marcos,Project La Costa,11.0,1.0,"$846,830.00",TX,6,2
22,NSF,bicultural,2012,Brandeis University,Memory Specificity Across Cultures,3.0,2.0,"$300,003.00",MA,6,2
23,NSF,bicultural,2015,Florida State University,Collaborative research: Measuring and modeling the ecological consequences of associational effects,0.0,1.0,"$569,999.00",FL,6,2
24,NSF,bicultural,2015,Pacific University,Collaborative Research: Measuring And Modeling The Ecological Consequences Of Associational Effects,0.0,1.0,"$156,999.00",OR,6,2
25,NSF,bicultural,2015,University of Illinois at Urbana-Champaign,CNIC: U.S.-Swedish Workshop on Assessment of Multimodal-Multilingual Development in Deaf and Hard-of-Hearing Children,0.0,1.0,"$61,679.00",IL,6,2
26,NSF,bicultural,1986,California State University-Fullerton,Santa Ana - Fullerton Elementary Mathematics Project (SAFEMAP),29.0,2.0,"$427,342.00",CA,6,2
27,NSF,bicultural,1999,University of Pennsylvania,Career: Improving Mathematics Teaching and Learning in Urban Classrooms,16.0,2.0,"$499,999.00",PA,6,2
0,NSF,multicultural,2014,Huff Sarah E,EAPSI: Multicultural identity integration and conflict resolution,1.0,3.0,"$5,070.00",MI,10,2
1,NSF,multicultural,2000,New Mexico State University,"PGE/LCP: Using Inquiry-Based Learning, Multicultural Education, and Sociocultural Constructivism to Enhance Girls' Participation and Academic Performance in SMET",15.0,2.0,"$685,941.00",NM,10,2
2,NSF,multicultural,2015,Michigan State University,"Conference: Advancing Team Effectiveness in a Globalized World; Michigan State University, October 8-10, 2015",0.0,1.0,"$47,916.00",MI,10,2
3,NSF,multicultural,2003,CUNY City College,Physics Education Research-based Reform at a Multicultural Institution,12.0,1.0,"$109,867.00",NY,10,2
4,NSF,multicultural,2003,Ohio State University Research Foundation -DO NOT USE,"Doctoral Dissertation Research: Cities and the ""Multicultural State"": Immigration, Multi-Ethnic Neighborhoods, and the Socio-Spatial Negotiation of Policy in the Netherlands",12.0,1.0,"$11,990.00",OH,10,2
5,NSF,multicultural,2015,Purdue University,Collaborative Research: Building Supports for Diversity through Engineering Teams,0.0,1.0,"$287,532.00",IN,10,2
6,NSF,multicultural,2015,"Board of Regents, NSHE, obo University of Nevada, Reno",Collaborative Research: Building Supports for Diversity through Engineering Teams,0.0,1.0,"$238,954.00",NV,10,2
7,NSF,multicultural,1993,Grand Valley State University,The Multicultural Mathematics Project,22.0,1.0,"$81,550.00",MI,10,2
8,NSF,multicultural,1994,Exploratorium,The Multicultural Science and Mathematics Snackbook,21.0,2.0,"$387,940.00",CA,10,2
9,NSF,multicultural,2010,George Mason University,VOSS: Culture and Coordination in Global Engineering Teams,5.0,1.0,"$400,000.00",VA,10,2
10,NSF,multicultural,2005,University of Texas at El Paso,Skilled perceptual-Memory and the Cross-Race Effect,10.0,1.0,"$94,586.00",TX,10,2
11,NSF,multicultural,2000,University of California-Los Angeles,Studies in Intergroup Conflict: A University Context,15.0,1.0,"$85,025.00",CA,10,2
12,NSF,multicultural,2004,University of Michigan Ann Arbor,Doctoral Dissertation Research: Who is Quebecois? The Articulation of Nationalist and Multicultural Interests in Emerging Language Ideologies,11.0,1.0,"$12,000.00",MI,10,2
13,NSF,multicultural,2003,Florida International University,Skilled perceptual-Memory and the Cross-Race Effect,12.0,1.0,"$196,977.00",FL,10,2
14,NSF,multicultural,2009,Brown University,Doctoral Dissertation Research: Multicultural Citizenship and Indigneous Identity,6.0,1.0,"$10,000.00",RI,10,2
15,NSF,multicultural,2001,Trustees of Boston University,Dissertation Research: Made in America: Globalization and the Construction of a Multi-Cultural Religious Community,14.0,1.0,"$11,969.00",MA,10,2
16,NSF,multicultural,2010,University of Massachusetts Amherst,Cultural Heritage in European Societies and Spaces (CHESS),5.0,1.0,"$149,550.00",MA,10,2
17,NSF,multicultural,2015,Knierman Karen A,Characterizing Star Formation in the Tidal Debris of Minor Galaxy Mergers,0.0,3.0,"$89,000.00",AZ,10,2
18,NSF,multicultural,1991,SUNY College at Plattsburgh,Planning Grant on Cross-Racial Eyewitness Identification in the Context of Multi-Racial and Multi-Cultural Change,24.0,1.0,"$14,619.00",NY,10,2
19,NSF,multicultural,1991,SUNY at Albany,Multicultural Awareness in Multinational Organizations,24.0,1.0,"$12,000.00",NY,10,2
20,NSF,multicultural,1996,Department of Education,Innovative Multicultural Curricula for the Young EC and U.S.Engineers and Scientists of the Year 2000,19.0,5.0,"$175,500.00",DC,10,2
21,NSF,multicultural,1991,CUNY Brooklyn College,An Interdisciplinary Urban Multicultural Teacher PreparationProgram in the Sciences: The Brooklyn Plan,24.0,2.0,"$645,358.00",NY,10,2
22,NSF,multicultural,1991,University of Nebraska-Lincoln,Enhancing The Effectiveness of Junior and Senior High SchoolTeachers in Multicultural Settings,24.0,1.0,"$611,640.00",NE,10,2
23,NSF,multicultural,2002,Florida Institute of Technology,SGER: A Toolset for Making Web Sites Accessible to Aging Adults in a Multicultural Environment,13.0,1.0,"$100,000.00",FL,10,2
24,NSF,multicultural,2002,Northern Arizona University,SGER: A Toolset for Making Web Sites Accessible to Aging Adults in a Multicultural Environment,13.0,1.0,"$86,810.00",AZ,10,2
25,NSF,multicultural,1992,University of California-Santa Barbara,Improving Mathematics Education in Multicultural Classrooms,23.0,2.0,"$787,069.00",CA,10,2
26,NSF,multicultural,2008,Western Washington University,Multicultural Initiative in the Marine Sciences: Undergraduate Participation (MIMSUP),7.0,2.0,"$1,049,278.00",WA,10,2
27,NSF,multicultural,2012,Western Washington University,RUI/MRI: Acquisition of a Gas Chromatograph/Mass Spectrometer for Marine Science Research at the Shannon Point Marine Center,3.0,1.0,"$346,880.00",WA,10,2
28,NSF,multicultural,2013,Western Washington University,Multicultural Initiative in Marine Science: Undergraduate Participation at the Shannon Point Marine Center,2.0,2.0,"$200,000.00",WA,10,2
29,NSF,multicultural,2009,Cornell University,VOSS: Supporting Interpersonal Awareness in Multicultural Virtual Organizations,6.0,1.0,"$388,994.00",NY,10,2
30,NSF,multicultural,2012,University South Carolina Research Foundation,"Doctoral Dissertation Research: Youth Citizenship, Civic Education, and Spaces of Belonging in a Multicultural Nation",3.0,1.0,"$15,794.00",SC,10,2
31,NSF,multicultural,1999,New Mexico State University,Pathways to Teaching Science for Understanding in Diverse Schools: Merging Inquiry-Based Science and Sociocultural Constructivism with Multicultural Education,16.0,1.0,"$223,815.00",NM,10,2
32,NSF,multicultural,2005,University of Rhode Island,Environmental Reporting Fellowships: Increasing Diversity in Earth and Environmental Science News Coverage,10.0,2.0,"$922,853.00",RI,10,2
