,State,University
0,ME,
1,MA,boston medical center
2,,sandia consulting group
3,GU,university of guam
4,AZ,northern arizona university
5,,"interactive drama, inc."
6,CT,yale university
7,WA,heritage university
8,AL,alabama state university
9,TX,university of texas sw med ctr
10,MS,alcorn state university
11,,fred hutchinson can res ctr
12,,division of cancer epidemiology and genetics
13,CA,university of southern california
14,,"montefiore medical center (bronx, ny)"
15,,univ of med/dent nj-r w johnson med sch
16,OH,case western reserve university
17,CA,university of california at davis
18,TN,vanderbilt university
19,,"healthcare interactive, inc."
20,,"decode genetics, ehf"
21,CA,loma linda university
22,,hebrew rehabilitation center for aged
23,,evans county health department
24,,cedars-sinai medical center
25,FL,florida state university
26,TX,university of north texas hlth sci ctr
27,NY,new york state psychiatric institute
28,,mclean hospital
29,OH,cuyahoga community college
30,,judge baker children's center
31,IL,lurie children's hospital of chicago
32,NM,university of new mexico health scis ctr
33,NM,university of new mexico
34,,division of basic sciences - nci
35,,"nanomimetics, inc."
36,GA,clark atlanta university
37,,medstar research institute
38,HI,university of hawaii at hilo
39,,3-c institute for social development
40,CA,cancer prevention instit of california
41,WV,west virginia university
42,,university of tx md anderson can ctr
43,NA,national human genome research institute
44,NY,new york university school of medicine
45,,lsu pennington biomedical research ctr
46,TN,university of tennessee health sci ctr
47,,weill medical coll of cornell univ
48,CA,california state university northridge
49,OK,university of oklahoma norman
50,NA,national development & res institutes
51,RI,rhode island hospital
52,WA,washington university
53,,seattle inst for biomedical/clinical res
54,,university of miami school of medicine
55,TX,university of texas hlth science center
56,NA,national assn for rural mental health
57,GA,georgia  regents university
58,,charles r. drew university of med & sci
59,NE,university of nebraska medical center
60,IN,purdue university
61,NY,college at old westbury
62,,primary care coalition/montgomery county
63,,"medical cyberworlds, inc."
64,,"klein buendel, inc."
65,,northwestern university at chicago
66,OR,oregon health & science university
67,NC,duke university
68,,seattle children's hospital
69,MA,wellesley college
70,NA,eunice kennedy shriver national institute of child health & human development
71,CA,university of california-irvine
72,,public health institute
73,,metropolitan state college of denver
74,OH,wright state university
75,MI,michigan state university
76,,"kdh research and communication, inc."
77,TX,university of texas sw med ctr/dallas
78,TX,university of texas md anderson can ctr
79,,"haskins laboratories, inc."
80,MO,saint louis university
81,OR,"oregon center for applied science, inc."
82,,family health care center
83,,eugenio maria de hostos community coll
84,RI,memorial hospital of rhode island
85,,gordon research conferences
86,NA,"national heart, lung, and blood institute"
87,NY,albert einstein college of medicine
88,CT,university of connecticut storrs
89,FL,florida international university
90,MD,university of maryland eastern shore
