Year,Articles
1850,166
1851,85
1852,197
1853,152
1854,217
1855,103
1856,185
1857,179
1858,124
1859,137
1860,166
1861,252
1862,169
1863,110
1864,139
1865,329
1866,168
1867,113
1868,106
1869,308
1870,137
1871,203
1872,232
1873,156
1874,97
1875,317
1876,258
1877,145
1878,117
1879,376
1880,282
1881,278
1882,290
1883,235
1884,379
1885,443
1886,261
1887,397
1888,272
1889,271
1890,395
1891,453
1892,508
1893,410
1894,1051
1895,1058
1896,1123
1897,1284
1898,1365
1899,1175
1900,1200
1901,1083
1902,1142
1903,1337
1904,1339
1905,1172
1906,1560
1907,1300
1908,1499
1909,1440
1910,1354
1911,1540
1912,1904
1913,1756
1914,1911
1915,1974
1916,2182
1917,2477
1918,1867
1919,1805
1920,2528
1921,2333
1922,3022
1923,2834
1924,2566
1925,2728
1926,3897
1927,5704
1928,6324
1929,7402
1930,7104
1931,6858
1932,7415
1933,7139
1934,7251
1935,7175
1936,6298
1937,6590
1938,7041
1939,6941
1940,6001
1941,5647
1942,5384
1943,4990
1944,4162
1945,4014
1946,4908
1947,6475
1948,7283
1949,8040
1950,8977
1951,8112
1952,8160
1953,8811
1954,9213
1955,9183
1956,9528
1957,9003
1958,8934
1959,8438
1960,8332
1961,8951
1962,9745
1963,9589
1964,9779
1965,11461
1966,13788
1967,17371
1968,19590
1969,19492
1970,18449
1971,19627
1972,21004
1973,23300
1974,25890
1975,24311
1976,24686
1977,25040
1978,24783
1979,20245
1980,21234
1981,23475
1982,33190
1983,35341
1984,37278
1985,41367
1986,44552
1987,46756
1988,47641
1989,49325
1990,50631
1991,51243
1992,52736
1993,54098
1994,55729
1995,55689
1996,57078
1997,57659
1998,59773
1999,60176
2000,65055
2001,69073
2002,77277
2003,87944
2004,94595
2005,104463
2006,118503
2007,125788
2008,140456
2009,145826
2010,149679
2011,157467
2012,165583
2013,172852
2014,176046
2015,170948
