"global leadership, developmental shift, leaders, multicultural effectiveness, cultural differences, industrial organizational psychology, competency models",22
"anthropology, indigenous knowledge, Western colonial hegemony, cross cultural exchange, synthesis of theories, ethnography, multiculturalism, methodologies",18
"empowerment theory, professional school counselors, feminist theories, multicultural theories",12
"diverse populations, clinical practice, multicultural treatment, counseling",11
"dissociative process, multicultural individuals, psychoanalysts, internal constructs, personality, psychoanalysis, psychotherapy",10
"biracial women, multiculturalism, feminism, American society, multicultural counseling, feminist therapy",8
"transracial adoption, mental health, African American children, literature review, commentary",8
"motivation, autonomy, multicultural counseling, psychotherapy, behavior change, practice, self determination theory, taxonomies",8
"sociocultural factors, Vygotskian academia, cultural-historical paradigms, multicultural education",7
"humanism, counseling, psychotherapy, mental health, wellness, multiculturalism, substance abuse, trauma, resilience, counselor education",7
"cultural competence, multidimensional model of cultural competence (MDCC), racial and cultural attributes, systematic identification",6
"emerging adulthood, ethnic identity exploration, young adults, minority group members, adolescence, bicultural & multicultural identity, childhood, biracial & multiracial identity",6
"interpretation of cultural data in assessment & case conceptualization in therapy using Multicultural Assessment Procedure, commentary",6
"multicultural counseling, cultural competency, multicultural therapy, mixed ancestry, mixed race, multiracial",6
"adolescent development, ethnic identity development, racial identity, adolescents, bicultural identity, multicultural identity, biracial identity, multiracial identity, educational settings",6
"linguistic & cultural identities, bilingual students, Japanese returnees, multicultural education",6
"racial identity development, multi-racial people, social experiences, biracial individuals, biracial women",6
"Blaxican identity, United States experience, multiracial individuals",6
"multicultural research, multicultural competence, cross-cultural research, stereotypic thinking, cultural identities, clinical practice",6
examines the state of biracial people in the US,6
"cultural complexity & creolization & pluralism & boundaries in cultural psychiatry research, comment",6
"negotiation, conflicts, culture, internalization, self-states, biracial patients, psychoanalytic theory",6
"psychology curriculum, teaching, multiculturalism, gender, psychology programs, diversity, pluralism, methods, resources, psychology courses",6
"multicultural clinical supervision, multicultural benchmarks, supervisor training, empirical approaches, background knowledge",6
"lesbian, gay, bisexual, transgender, sexual orientation, gender diversity, multiculturalism, education, training, experiences",6
"individual autonomy, truth telling, advance directives, end of life issues, multiculturalism, patient autonomy, cultural differences",6
"mixed-race women experiences, biracial population, female gender, self identity",6
"instrument validation, multiracial individuals, instrument development, multiracial racism, Biracial Experiences of Discrimination Inventory, internal reliability, multiculturalism",6
