,word,ARRA Indicator,Activity,Administering  IC,Application ID,Contact PI  Person ID,Contact PI / Project Leader,FY,FY Total Cost ,FY Total Cost  (Sub Projects),IC,Organization Name,Other PI or Project Leader(s),Project Number,Project Title,Serial Number,Subproject Number ,Suffix,Support Year,Type
0,bicultural, ,R01,NICHD,6521173,1896188,"ALTMAN, JACKI ",2002,335137,,HD,UNIVERSITY OF CONNECTICUT STORRS,Not Applicable,5R01HD037515-03,CULTURAL CHANGE IN CHILDREARING BELIEFS AND PRACTICES,37515,,,3,5
1,bicultural, ,R01,NICHD,6388079,1896188,"ALTMAN, JACKI ",2001,355033,,HD,UNIVERSITY OF CONNECTICUT STORRS,Not Applicable,5R01HD037515-02,CULTURAL CHANGE IN CHILDREARING BELIEFS AND PRACTICES,37515,,,2,5
2,bicultural, ,R01,NICHD,6138870,1896188,"ALTMAN, JACKI ",2000,415255,,HD,UNIVERSITY OF CONNECTICUT STORRS,Not Applicable,1R01HD037515-01A1,CULTURAL CHANGE IN CHILDREARING BELIEFS AND PRACTICES,37515,,A1,1,1
3,bicultural, ,R01,NIMH,7664631,1861565,"AMBADY, NALINI ",2009,207082,,MH,TUFTS UNIVERSITY MEDFORD,Not Applicable,5R01MH070833-05,COMMUNICATION OF EMOTION: BEHAVIORAL AND NEURAL CORRELATES,70833,,,5,5
4,bicultural, ,R01,NIMH,7488888,1861565,"AMBADY, NALINI ",2008,207082,,MH,TUFTS UNIVERSITY MEDFORD,Not Applicable,5R01MH070833-04,COMMUNICATION OF EMOTION: BEHAVIORAL AND NEURAL CORRELATES,70833,,,4,5
5,bicultural, ,R01,NIMH,7284262,1861565,"AMBADY, NALINI ",2007,207082,,MH,TUFTS UNIVERSITY MEDFORD,Not Applicable,5R01MH070833-03,COMMUNICATION OF EMOTION: BEHAVIORAL AND NEURAL CORRELATES,70833,,,3,5
6,bicultural, ,R01,NIMH,7124217,1861565,"AMBADY, NALINI ",2006,213268,,MH,TUFTS UNIVERSITY MEDFORD,Not Applicable,5R01MH070833-02,COMMUNICATION OF EMOTION: BEHAVIORAL AND NEURAL CORRELATES,70833,,,2,5
7,bicultural, ,R01,NIMH,6925838,1861565,"AMBADY, NALINI ",2005,218400,,MH,TUFTS UNIVERSITY MEDFORD,Not Applicable,1R01MH070833-01A1,NONLINGUISTIC DIALECTS: BEHAVIORAL AND NEURAL CORRELATES,70833,,A1,1,1
8,bicultural, ,R24,NIMHD,8254326,1875070,"CALMAN, NEIL S",2012,583862,,MD,INSTITUTE FOR FAMILY HEALTH,Not Applicable,5R24MD001644-08,BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,1644,,,8,5
9,bicultural, ,R24,NIMHD,8039244,1875070,"CALMAN, NEIL S",2011,624348,,MD,INSTITUTE FOR FAMILY HEALTH,Not Applicable,5R24MD001644-07,BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,1644,,,7,5
